repeat_id,algorithm_name,search_mode,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
3,Default,model_prediction,1,12,"[8,1,1,2]",40.95331573486328,40.95331573486328,38.74,38.74,1.0,243.66,2
3,Default,model_prediction,2,12,"[0,7,3,2]",72.40593719482422,51.41353666254637,68.53,55.05015474969702,0.8033000839004381,291.09,3
3,Default,model_prediction,3,6,"[0,0,4,2]",72.17086791992188,34.786036245820654,71.27,37.000203315783565,0.5191553713453566,297.60999999999996,4
4,Default,model_prediction,0,12,"[8,1,2,1]",40.833255767822266,40.833255767822266,38.74,38.74,1.0,38.74,1
4,Default,model_prediction,1,12,"[0,3,2,7]",73.05733489990234,52.11514504555368,68.53,55.05015474969702,0.8033000839004381,86.16999999999999,2
4,Default,model_prediction,2,6,"[0,2,4,0]",74.36665344238281,35.56347113589465,71.27,37.000203315783565,0.5191553713453566,92.68999999999998,3
4,Default,model_prediction,3,2,"[0,2,0,0]",205.61,205.61,204.92,204.92,1.0,297.60999999999996,4
5,Default,model_prediction,0,2,"[2,0,0,0]",206.5,206.5,204.92,204.92,1.0,204.92,1
5,Default,model_prediction,1,12,"[2,8,2,0]",73.79645538330078,73.79645538330078,64.77,64.77,1.0,269.69,2
5,Default,model_prediction,2,4,"[0,0,0,4]",242.9,242.9,244.7,244.7,1.0,514.39,3
5,Default,model_prediction,3,4,"[0,0,0,4]",242.7,242.7,244.7,244.7,1.0,759.0899999999999,4
5,Default,model_prediction,4,10,"[4,0,6,0]",138.02053833007812,64.59164509955828,142.12,72.23122432210354,0.5082410943013196,799.47,5
6,Default,model_prediction,0,4,"[0,0,4,0]",242.63,242.63,244.7,244.7,1.0,244.7,1
6,Default,model_prediction,1,12,"[8,2,1,1]",40.680973052978516,40.680973052978516,38.74,38.74,1.0,283.44,2
6,Default,model_prediction,2,2,"[0,2,0,0]",205.92,205.92,204.92,204.92,1.0,488.36,3
6,Default,model_prediction,3,12,"[0,2,3,7]",73.68077087402344,52.27692885909196,68.53,55.05015474969702,0.8033000839004381,535.79,4
6,Default,model_prediction,4,2,"[0,2,0,0]",205.62,205.62,204.92,204.92,1.0,740.7099999999999,5
7,Default,model_prediction,0,6,"[6,0,0,0]",230.16,230.16,232.24,232.24,1.0,232.24,1
7,Default,model_prediction,1,10,"[0,1,1,8]",234.8,234.8,39.33,39.33,1.0,271.57,2
7,Default,model_prediction,2,12,"[0,5,7,0]",138.9082489013672,35.424237029144,135.96,81.55738490501454,0.5998630840321751,337.39,3
7,Default,model_prediction,3,4,"[2,2,0,0]",76.47850036621094,7.484664898470047,77.34,15.58555753473459,0.20152000950005935,283.15,4
8,Default,model_prediction,0,2,"[0,0,0,2]",197.69,197.69,204.92,204.92,1.0,204.92,1
8,Default,model_prediction,1,6,"[0,0,6,0]",228.09,228.09,232.24,232.24,1.0,437.15999999999997,2
8,Default,model_prediction,2,4,"[0,4,0,0]",242.96,242.96,244.7,244.7,1.0,681.8599999999999,3
8,Default,model_prediction,3,2,"[0,0,2,0]",112.91,112.91,204.92,204.92,1.0,886.7799999999999,4
8,Default,model_prediction,4,6,"[0,0,0,6]",229.97,229.97,232.24,232.24,1.0,1119.02,5
8,Default,model_prediction,5,12,"[8,4,0,0]",139.11715698242188,139.11715698242188,141.27,141.27,1.0,1260.29,6
9,Default,model_prediction,0,2,"[0,0,2,0]",204.01,204.01,204.92,204.92,1.0,204.92,1
9,Default,model_prediction,1,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,449.62,2
