test_num,repeat,algo,result,bw
27,18,Max_bw,"[8, 7, 6, 6]",99.18
27,19,myalgo,[1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0],69.35
27,19,upper_BandDisp,[0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,19,Max_bw,"[8, 7, 6, 6]",99.18
27,21,myalgo,[1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1],69.35
27,21,upper_BandDisp,[0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,21,Max_bw,"[8, 7, 6, 6]",99.18
27,22,myalgo,[1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1],69.35
27,22,upper_BandDisp,[0 0 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,22,Max_bw,"[8, 7, 6, 6]",99.18
27,24,myalgo,[1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0],69.35
27,24,upper_BandDisp,[0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,24,Max_bw,"[8, 7, 6, 6]",99.18
27,25,myalgo,[1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0],69.35
27,25,upper_BandDisp,[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1],99.18
27,25,Max_bw,"[8, 7, 6, 6]",99.18
27,27,myalgo,[1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1],69.35
27,27,upper_BandDisp,[0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1],99.18
27,27,Max_bw,"[8, 7, 6, 6]",99.18
27,28,myalgo,[0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0],69.35
